GT,D,A,E,F
0.009762075,0.012059199,0.329480519,0.012029112,0.009692845
0.008726646,0.019018443,0.310501156,-0.003886933,-0.003642159
0.008726646,-0.016118286,0.34228478,0.01332673,0.013167475
0.011864967,0.05634451,0.33423579,0.014317439,0.013889894
0.019896723,0.07413393,0.328862728,0.027749758,0.02599462
0.031093687,0.07271173,0.342410523,0.037897456,0.036245712
0.033845396,0.090388924,0.33853277,0.038260797,0.03654688
0.033352893,0.11043762,0.340184826,0.036308877,0.029448064
0.032492377,0.10735647,0.345786108,0.033244183,0.032072436
0.028126609,0.12081915,0.343438785,0.030267995,0.029808626
0.023112269,0.099978596,0.056433067,0.023608591,0.021971101
0.012656473,0.11128539,0.034662202,0.020870171,0.016975965
0.006981317,0.1572802,0.047502264,0.024456114,0.020385726
0.006981317,0.16076902,0.048423484,0.024241444,0.021495763
0.011702937,0.17755438,0.032337867,0.021057468,0.020054828
0.020423341,0.16293527,0.02371479,0.022346105,0.017937077
0.022689281,0.12538141,-0.009231983,0.023576465,0.021490609
0.022689281,0.12993813,-0.004284406,0.029897046,0.025780039
0.019198623,0.14808635,0.023909638,0.022097297,0.01856178
0.02066252,0.16012788,0.026129364,0.021523431,0.017962918
0.023271919,0.21748927,0.042868122,0.034342613,0.028708827
0.024434609,0.1771209,0.026854603,0.039458368,0.031870682
0.02617994,0.17522132,0.032986276,0.032430474,0.030733978
0.02617994,0.14841661,0.036809325,0.03046656,0.027097283
0.02617994,0.14001401,0.037592404,0.02763411,0.027292624
0.02617994,0.16626427,0.02892855,0.027881589,0.022919988
0.02617994,0.20448726,0.030282693,0.026815339,0.022075311
0.027925268,0.11133309,0.028082626,0.038500506,0.03511357
0.029670598,0.09375013,0.048456224,0.038267877,0.033138104
0.029670598,0.09449055,0.033709852,0.048610062,0.040843619
0.033161256,0.09647925,0.039655715,0.060259591,0.055680437
0.033161256,0.10058356,0.042650281,0.052255916,0.042842506
0.033674465,0.10834508,0.043449406,0.053938286,0.051748576
0.038397245,0.11275844,0.049516478,0.061047505,0.05951288
0.038397245,0.100678414,0.047507996,0.057582956,0.053899037
0.038397245,0.102193564,0.038487553,0.064436144,0.053208336
0.038397245,0.07856985,0.07135625,0.059888601,0.05443609
0.038397245,0.053382054,0.047318501,0.046614166,0.038467891
0.036179409,0.038474403,0.037852437,0.04024621,0.03679555
0.031415928,0.07982393,0.049094245,0.037121985,0.03376796
0.027925268,0.12104769,0.03253199,0.052995672,0.045168095
0.027925268,0.12529504,0.029352839,0.04393115,0.036288311
0.029670598,0.12446028,0.032384912,0.03421435,0.031505032
0.027925268,0.1282617,0.032120536,0.033287697,0.031109376
0.027103982,0.12611789,0.040508385,0.039866837,0.036806651
0.016606084,0.093212925,0.02442429,0.039714236,0.034488738
0.007910808,0.08263175,0.038542733,0.027270775,0.025224494
0.002220915,0.03317041,0.057708412,-0.005868319,-0.00517378
0.002167708,0.07307061,-0.016712802,0.015449119,0.012547377
0.006506256,0.01640463,-0.00386912,0.023452293,0.01960846
0.008726646,0.17552894,0.008945487,0.010249238,0.009076835
0.008726646,0.0769384,0.0366453,0.012606259,0.011383447
0.010471975,0.18027586,0.019918779,0.013165274,0.011068442
0.010471975,0.02545421,0.012004087,0.011403824,0.011182639
0.012217305,-0.060089156,-0.030783439,0.013770509,0.012493672
0.012217305,-0.07522975,-0.016060794,0.02395705,0.019803758
0.011865717,-0.101491645,-0.010030784,0.014072995,0.012754084
0.010471975,-0.051084362,0.030906582,0.017475002,0.015777031
0.008726646,-0.012858665,-0.031023396,0.012510327,0.011337364
0.008726646,-0.049465373,-0.031680368,0.012614309,0.011524866
0.008400171,-0.012368096,-0.033286717,0.019151133,0.018338834
0.006981317,0.014521154,-0.021045797,0.007280738,0.006683245
0.006981317,0.02361274,-0.03877968,0.012668164,0.011729823
0.006981317,-0.021989753,-0.031023396,-0.005701509,-0.004795151
0.006981317,-0.013255393,-0.031023396,0.011539382,0.010712437
0.006981317,-0.043593347,-0.031023396,0.010553145,0.009142264
0.005235988,-0.043025285,-0.031023396,-0.004300166,-0.00356253
0.005235988,-0.060135625,-0.026173085,0.009632721,0.009187634
0.004947544,-0.044723034,-0.031023396,0.015884276,0.015486011
0.003490658,-0.026743723,-0.024466755,0.014898906,0.012000995
0.003490658,-0.009960769,-0.031023396,0.012384857,0.011961556
0.003490658,-0.040732242,-0.031023396,0.014654453,0.013797049
0.003246403,-0.047988825,-0.016157914,0.013953379,0.011250811
-0.001601436,-0.07594214,-0.011280356,0.008458822,0.007284683
-0.025842034,-0.046568573,-0.035560901,-0.048462925,-0.042282071
-0.046927376,-0.017086213,-0.064286304,-0.065909026,-0.063942109
-0.052138471,0.009687612,-0.05298715,-0.073714163,-0.071432614
-0.042797083,-0.012972234,-0.055817623,-0.05593688,-0.047279633
-0.017979735,0.011617282,-0.02799936,-0.021594702,-0.018644517
0.001071329,-0.019854797,-0.001237799,0.007082702,0.005997901
0.00717256,0.028715985,0.007512992,-0.014211986,-0.013340392
0.011530417,0.029920058,0.01311017,0.014798517,0.012430863
0.010471975,0.012461877,0.020687846,0.019852343,0.016715157
0.008726646,0.032739706,0.014257474,-0.021600679,-0.019229481
0.010471975,0.03801509,-0.031023396,-0.012981748,-0.012550496
0.008726646,0.03865508,-0.024868404,-0.008486774,-0.007050007
0.005235988,0.046724238,-0.031023396,0.013095667,0.012896543
0.005235988,0.04173109,-0.023568088,0.006339232,0.005990716
0.005235988,0.03133356,-0.07264262,0.006750244,0.005780216
0.005235988,-0.002514763,-0.021954987,0.00621857,0.005026878
0.005235988,0.028150214,-0.009114319,0.008535919,0.007671671
0.00424185,0.017659718,-0.058225118,0.0056492,0.005244646
0.003385929,0.027209708,-0.031023396,0.003973839,0.003214888
0.001745329,0.009965556,-0.031023396,-0.009594771,-0.008501977
0.001745329,0.01808854,-0.031023396,-0.009969098,-0.009813921
0.001745329,0.028255066,0.014556507,-0.023114562,-0.021328721
0.001665945,0.03526175,-0.066600725,-0.027623847,-0.026638097
-0.004440561,0.14621802,-0.031023396,-0.06882648,-0.066717353
-0.014476351,0.06850176,-0.020318396,-0.05046082,-0.040728312
-0.032611378,0.013906518,-0.034199359,-0.10592705,-0.09585802
-0.056049732,-0.018931096,-0.081076067,-0.10995987,-0.10033768
-0.065499653,-0.049356908,-0.088137135,-0.07532821,-0.06682278
-0.062746488,-0.016342422,-0.079941311,-0.07199687,-0.065984804
-0.051385875,0.006266298,-0.071748355,-0.060105342,-0.058125386
-0.036603237,0.017127575,-0.061307085,-0.045606379,-0.042119734
-0.027925268,0.000881063,-0.031023396,-0.05961236,-0.052318603
-0.02617994,0.041052468,-0.026648305,-0.032744139,-0.029940211
-0.025279593,0.057978123,-0.028479662,-0.028655417,-0.024901704
-0.024437243,0.049408086,-0.031023396,-0.030788454,-0.025956792
-0.025313606,0.047675848,-0.031023396,0.001800013,0.0017369
-0.027900466,0.03190697,-0.029694013,-0.042148423,-0.033731159
-0.029670598,0.021930533,-0.047126153,-0.055093606,-0.045595392
-0.027925268,0.01013078,-0.033182586,-0.051820426,-0.044188319
-0.021842428,0.048349775,-0.035832662,-0.037735276,-0.032941969
-0.017485816,0.10879359,0.000347814,-0.031056924,-0.02512846
-0.013962634,0.12904826,0.004175453,-0.023906912,-0.019264044
-0.01566217,0.13719247,0.004000703,-0.024673855,-0.021915125
-0.018279096,0.14729206,0.010479117,-0.031910321,-0.026631218
-0.019198623,0.09569166,0.008798545,-0.034873175,-0.033605767
-0.014899117,0.055168793,-0.028662296,-0.027466075,-0.024110759
-0.010543098,0.038523942,-0.012533606,-0.014787238,-0.012416586
-0.002698412,-0.004243177,-0.014279356,-0.012110549,-0.01010738
0.001656534,-0.011760232,-0.009351254,-0.006946442,-0.005749674
0.006801991,0.022082565,0.019959541,0.021338463,0.017974318
0.013866423,0.06300039,0.031123618,0.03019112,0.028048741
0.013206977,0.05535709,0.033276416,0.030217294,0.026983349
0.007220014,0.06839892,0.020760098,0.011427968,0.01092362
0.007772632,0.04673747,0.02777038,0.010344791,0.0089982
0.010402257,0.0707862,0.016323866,0.011334156,0.011095497
0.010471975,0.081272,0.020162636,0.016772456,0.014479244
0.013825832,0.07060771,-0.000473777,0.014521739,0.012288205
0.013962634,0.06586715,0.0551301,0.016477901,0.013186309
0.013962634,0.0710289,0.034899063,0.016282582,0.016100692
0.012533572,0.06680438,0.03527485,0.02091076,0.019189242
0.008726646,0.07423208,0.026385872,0.010770015,0.009488261
0.009425448,0.09302853,0.011339797,0.012809671,0.011410769
0.013788043,0.074677154,0.01857044,0.020272925,0.019396515
0.017812969,0.07815254,0.024001779,0.02268852,0.018644665
0.024233001,0.055963695,0.037773818,0.028409045,0.023076555
0.024434609,0.07931635,0.039893687,0.031113051,0.029733775
0.02617994,0.06960258,0.041615076,0.028310295,0.024938116
0.030317041,0.06293808,0.039577723,0.045734838,0.038031858
0.033161256,0.09445862,0.05703917,0.044819456,0.037437262
0.033161256,0.0843675,0.04520707,0.040075954,0.032294583
0.033161256,0.07992302,0.053179584,0.048368182,0.044856077
0.033161256,0.049211226,0.044987246,0.039870542,0.033231501
0.031415928,0.040245764,0.042520158,0.038362167,0.035405152
0.034906585,0.05702895,0.039904453,0.035874765,0.028711527
0.034906585,0.08512582,0.056852147,0.035959255,0.028816956
0.038397245,0.05556827,0.04990454,0.042817753,0.038017301
0.048044751,0.06262463,0.049465072,0.05031442,0.04869896
0.061682706,0.08215596,0.078012946,0.062346663,0.053068099
0.071274651,0.089808665,0.094629559,0.095608772,0.082361166
0.07271906,0.08935501,0.078589656,0.081970535,0.075320527
0.06981317,0.107774906,0.086611085,0.086306203,0.069252286
0.06981317,0.11942293,0.103674024,0.076575063,0.072000635
0.06981317,0.10238159,0.071333519,0.08389527,0.067499637
0.073856894,0.099239565,0.07736229,0.091340445,0.082423338
0.078249254,0.06442202,0.094255545,0.082434133,0.081164458
0.083775803,0.051752105,0.101603672,0.102283317,0.084443819
0.085181059,0.060099326,0.08769573,0.116539037,0.097351514
0.08726646,0.06396702,0.08920746,0.1386134,0.12276078
0.090757124,0.074862994,0.108321118,0.145038368,0.131562032
0.093527691,0.06049361,0.11433838,0.124006469,0.112780102
0.099483766,0.076231994,0.11695689,0.124004431,0.111749387
0.103480179,0.07716191,0.10564543,0.10773004,0.100458196
0.104719758,0.108292885,0.10636586,0.114848711,0.093731652
0.104719758,0.12615083,0.114135686,0.115930661,0.109637395
0.104719758,0.11039947,0.118400336,0.202562575,0.168529203
0.104719758,0.13255431,0.125078806,0.12881891,0.120380021
0.106465086,0.12106599,0.117066143,0.112383984,0.111026964
0.108210415,0.11887257,0.125398579,0.10950461,0.103177932
0.109955743,0.10714352,0.129809466,0.1308574,0.108401174
0.1134464,0.129154,0.132827919,0.13185905,0.130402191
0.112131134,0.13028513,0.116430109,0.15480252,0.151247047
0.111256608,0.12222271,0.124005917,0.15661117,0.136650334
0.109955743,0.12387687,0.122704786,0.124755696,0.117452092
0.109955743,0.09219061,0.120427936,0.118024946,0.103394222
0.108210415,0.11710319,0.109819785,0.125816869,0.115891861
0.106053092,0.10268216,0.109659495,0.139708905,0.113110698
0.100409082,0.12149376,0.113139414,0.133284974,0.123723469
0.092105353,0.13368033,0.106286794,0.104590445,0.088103841
0.087761327,0.10293417,0.11241564,-0.037414275,-0.031373974
0.083003766,0.08483618,0.10813147,0.109892199,0.098050456
0.075049154,0.084339134,0.09405342,0.104091649,0.091036595
0.074683678,0.11004056,0.08750044,0.093742466,0.087852143
0.073303826,0.06975473,0.08774975,0.091381642,0.073406096
0.073303826,0.089284346,0.10439806,0.076820098,0.068853234
0.071558498,0.1139757,0.10145341,0.076548166,0.071686889
0.071558498,0.10539603,0.0911181,0.096071166,0.084075989
0.071558498,0.096307315,0.09540683,0.075196076,0.071489448
0.071558498,0.07626692,0.09462044,0.078031386,0.066842547
0.072760203,0.082292415,0.09087887,0.080654337,0.065285027
0.075373592,0.11981794,0.10148172,0.084614334,0.081050905
0.081470571,0.1090312,0.0930747,0.112364325,0.108735405
0.086976071,0.11907016,0.092403434,0.092006983,0.080426176
0.102995884,0.11909102,0.15966967,0.129581488,0.115338456
0.106758066,0.09541469,0.12608808,0.130405017,0.12216571
0.108210415,0.14090711,0.126826749,0.132917829,0.119195833
0.106194966,0.12525691,0.10698356,0.117814962,0.096341458
0.100081391,0.1007724,0.10456689,0.118743912,0.104554659
0.089974767,0.118832275,0.09259637,0.103561924,0.083368792
0.072913318,0.11098981,0.073632641,0.08866717,0.074859423
0.056849984,0.081522845,0.062262475,0.091736384,0.085712272
0.046647216,0.080277316,0.06913459,0.088790596,0.072981973
0.04712389,0.07234198,0.080052204,0.08575893,0.078314287
0.048869219,0.07143791,0.09573558,0.08325388,0.074950735
0.049091628,0.10397672,0.069657095,0.101184435,0.092281721
0.051705458,0.13070746,0.095546484,0.063590206,0.057136366
0.060123789,0.122871086,0.10607411,0.09879162,0.083085785
0.074785847,0.10713217,0.09333991,0.08866848,0.081392834
0.091149751,0.09757778,0.098602876,0.09601283,0.084862528
0.102671783,0.11740859,0.10748327,0.11533273,0.102556474
0.104899004,0.13580391,0.108347339,0.112145745,0.097897249
0.109580946,0.14380597,0.121382296,0.1235776,0.117784162
0.111865763,0.18828823,0.114477386,0.149553746,0.136953938
0.117977353,0.12497823,0.125131297,0.122238202,0.098033052
0.122326366,0.1259951,0.148254409,0.146939373,0.14374934
0.123918377,0.11926384,0.141906664,0.142013004,0.135352504
0.123918377,0.13391048,0.128904164,0.133243509,0.123909514
0.123918377,0.13968332,0.129497469,0.131886934,0.12020977
0.123918377,0.12977728,0.131280454,0.127867304,0.124255335
0.126656735,0.11988892,0.1370398,0.134489234,0.126897453
0.129154369,0.1270175,0.132654998,0.133782988,0.123528673
0.129154369,0.13816021,0.129711748,0.136271068,0.109177154
0.129154369,0.14384645,0.133311868,0.132329968,0.11542894
0.124690163,0.13175812,0.14309905,0.12556867,0.123519566
0.11133177,0.1289608,0.13629818,0.12040318,0.107733337
0.098520772,0.13665132,0.12517783,0.1198694,0.111941231
0.096070312,0.12452665,0.13213722,0.1182634,0.11633231
0.10231509,0.13597211,0.12984553,0.11134773,0.090725066
0.108275928,0.13212986,0.1331025,0.1088446,0.102876804
0.110771017,0.12688845,0.12217972,0.11958393,0.110347663
0.109955743,0.12492503,0.117426395,0.12437565,0.123117415
0.109955743,0.12270944,0.11692062,0.11483037,0.113504796
0.10996762,0.11903493,0.12291983,0.120078431,0.100504556
0.112601192,0.113413155,0.124845326,0.126150014,0.116979909
0.116981643,0.11214864,0.13441181,0.131775125,0.129088712
0.123918377,0.12817958,0.12699766,0.12616298,0.116727079
0.123909502,0.12352061,0.132907,0.132266614,0.116806025
0.117832289,0.11885993,0.15046951,0.11975857,0.10803389
0.116937056,0.13042304,0.1789004,0.11913704,0.113482974
0.116937056,0.13312882,0.19621974,0.12746887,0.112875521
0.120406691,0.13961832,0.1663987,0.1312284,0.107966353
0.126471838,0.15275651,0.17186247,0.12905383,0.119627654
0.136104437,0.16005743,0.16286545,0.13627325,0.130755317
0.136135682,0.16062108,0.17786369,0.146437915,0.12239698
0.136135682,0.15820852,0.1840628,0.143957805,0.124644827
0.130987965,0.13580859,0.1806098,0.13269202,0.120213413
0.12746228,0.13525091,0.18678096,0.133180009,0.112114669
0.118736538,0.12693748,0.1562628,0.12351375,0.111988231
0.111839669,0.11962904,0.13758506,0.12153936,0.113362799
0.10229683,0.11940637,0.14938231,0.12052492,0.106280937
0.08749698,0.115038306,0.12241599,0.110615455,0.095807898
0.085521132,0.11441462,0.1225045,0.10916609,0.101008419
0.092315402,0.12372813,0.10528201,0.10421588,0.09997102
0.107054157,0.13678971,0.108392368,0.108800923,0.091283136
0.118578923,0.13801935,0.135169412,0.131464261,0.105463472
0.122173049,0.14651924,0.133715707,0.135557882,0.117664821
0.122173049,0.13309273,0.134621933,0.138674222,0.132047357
0.117930852,0.1353312,0.125678364,0.130734504,0.12565563
0.111952119,0.12727082,0.113999848,0.116800033,0.102207405
0.107482855,0.114937305,0.109070029,0.107886929,0.087558891
0.104865457,0.10985322,0.10505541,0.105423453,0.102348554
0.103998146,0.11784367,0.10634714,0.105117012,0.097586392
0.101229094,0.11424704,0.10352272,0.10231017,0.100415984
0.101229094,0.10207544,0.105240268,0.10830627,0.099932646
0.101048841,0.11914429,0.108063741,0.11079196,0.098518013
0.099483766,0.12293403,0.099794611,0.10503409,0.095011722
0.0961764,0.10940695,0.11487927,0.107353486,0.08795078
0.088332861,0.09615074,0.107973112,0.098257594,0.084065228
0.082230551,0.09250255,0.086434458,0.093809925,0.082612683
0.079823086,0.09134194,0.09189874,0.089853935,0.088848582
0.078539819,0.100468546,0.08044374,0.088710874,0.077892938
0.077222379,0.098241754,0.07760214,0.08892373,0.071253814
0.070035742,0.0899757,0.072415924,0.08438635,0.082131794
0.063932113,0.084780686,0.064077,0.086398564,0.072143721
0.062831856,0.08517695,0.06666993,0.08376614,0.071353381
0.062831856,0.09444192,0.084839106,0.08982054,0.085019255
0.062831856,0.09394089,0.08370353,0.093812376,0.077236546
0.062165363,0.086975925,0.062169567,0.08207869,0.079535483
0.062572979,0.087551534,0.067633815,0.0821769,0.070262549
0.068669667,0.089646325,0.07511389,0.08227909,0.074796967
0.076218184,0.09470919,0.081515834,0.083143,0.079636005
0.086692738,0.11491002,0.11332102,0.09433106,0.082895128
0.097155391,0.12519607,0.1033923,0.09911884,0.091998949
0.102374026,0.12380423,0.107987165,0.106541372,0.101160688
0.104719758,0.12431663,0.11464463,0.116942652,0.101288044
0.104719758,0.12563285,0.107194886,0.107559566,0.096030975
0.104719758,0.12390506,0.108702466,0.111647406,0.097850472
0.105269407,0.11937325,0.1108657,0.119219944,0.095946468
0.106465086,0.119678676,0.11289942,0.124642983,0.108801849
0.108210415,0.12583892,0.116616529,0.125844679,0.107797144
0.109616574,0.117331535,0.11359677,0.123986168,0.108981907
0.108210415,0.11568965,0.12351823,0.123549809,0.103592167
0.108210415,0.11686674,0.12068428,0.122565499,0.119651896
0.108726734,0.11080854,0.12503397,0.119124857,0.098553701
0.111701071,0.12447296,0.119464055,0.123267973,0.099778616
0.111202591,0.1235946,0.126080932,0.128749532,0.113198995
0.109955743,0.12562926,0.123659956,0.131277016,0.120906735
0.105506876,0.11393419,0.111882046,0.124291562,0.104775128
0.099874415,0.10641139,0.100271314,0.109417881,0.088021841
0.097738437,0.12859651,0.100801826,0.098135595,0.08304993
0.099077084,0.13272794,0.104908283,0.101835134,0.087251511
0.097281671,0.11977439,0.105166133,0.101674023,0.099711742
0.095993109,0.121258155,0.105070758,0.099365508,0.092441631
0.09380488,0.11155124,0.102476916,0.098389481,0.08503345
0.091192652,0.11695035,0.093080714,0.098580014,0.081211045
0.085980023,0.10239018,0.08798885,0.08625699,0.078522815
0.07286445,0.098455556,0.08242887,0.08558334,0.080789599
0.058395588,0.09920149,0.06824947,0.08171204,0.079082783
0.051534866,0.08342932,0.068519995,0.076246984,0.074945726
0.048460589,0.07628945,0.07264442,0.07869637,0.075700872
0.04712389,0.07895829,0.06780541,0.08219045,0.076919556
0.047521361,0.07946507,0.06258295,0.079952314,0.06478918
0.050130425,0.07751697,0.070229225,0.07678683,0.069384293
0.060093972,0.07315446,0.07016291,0.06789419,0.066720103
0.064577185,0.0641923,0.07057923,0.06458345,0.053463061
0.064577185,0.08590381,0.066226505,0.078069694,0.063992459
0.064577185,0.09079912,0.0936301,0.08672941,0.083907421
0.062831856,0.09099902,0.07963029,0.08382236,0.074996231
0.062831856,0.10717596,0.10904129,0.08342495,0.078742503
0.063179061,0.10136801,0.10037747,0.08892173,0.078774069
0.067537584,0.10588282,0.092173666,0.08747917,0.086495481
0.071895831,0.08278844,0.076678046,0.08461549,0.072737741
0.075049154,0.08439993,0.082649199,0.08164326,0.065991427
0.075049154,0.0873826,0.079590619,0.08180446,0.08062365
0.075049154,0.08927593,0.07996858,0.08033796,0.069287566
0.078845623,0.09090345,0.087842755,0.083121225,0.073067857
0.082030475,0.11494924,0.1369282,0.08875479,0.073021101
0.083775803,0.10356126,0.120569766,0.086878827,0.081347038
0.086661876,0.09815713,0.116513774,0.091653802,0.078530078
0.089011788,0.08956731,0.12695332,0.102218967,0.087539828
0.089011788,0.087457374,0.15042756,0.099759132,0.084541388
0.089556761,0.09287584,0.1706195,0.096044722,0.092972681
0.092502452,0.091902606,0.11932334,0.107039105,0.102708251
0.094508464,0.09408503,0.113548783,0.100012598,0.083764151
0.098236981,0.14194645,0.10183765,0.112166687,0.092879704
0.104961741,0.14086166,0.14444606,0.160739208,0.156384435
0.106465086,0.12083113,0.13596472,0.140855053,0.131101584
0.106178828,0.12151578,0.13940945,0.130741292,0.106931596
0.104719758,0.108415924,0.1562246,0.148239989,0.134269948
0.104506595,0.10503036,0.123923674,0.15781273,0.149859476
0.105800198,0.10404375,0.11730637,0.145417927,0.125800699
0.104719758,0.10327728,0.108103305,0.13198065,0.108379498
0.104719758,0.119569495,0.111081826,0.125914581,0.118609207
0.10628336,0.117965326,0.112420813,0.128459389,0.122396715
0.106465086,0.113122895,0.12081483,0.129399948,0.105346604
0.106465086,0.14122039,0.12916468,0.139288943,0.123839466
0.106465086,0.13282508,0.14626521,0.121395263,0.111887555
0.10693171,0.13147235,0.1392916,0.116807019,0.108582749
0.117960931,0.11922267,0.13851526,0.147080952,0.137637145
0.12042772,0.11794856,0.14142686,0.14170672,0.139764857
0.12042772,0.10865602,0.12348324,0.131613135,0.1154476
0.118682392,0.11805609,0.1254275,0.139488079,0.119641887
0.116937056,0.118967876,0.12115237,0.141780112,0.134890407
0.116937056,0.11160925,0.1314346,0.154402382,0.151480429
0.115191728,0.13433798,0.122295395,0.143684916,0.119518543
0.111701071,0.12788396,0.12753507,0.124257677,0.104270216
0.111701071,0.11786054,0.122499764,0.136392143,0.110739074
0.111701071,0.12116097,0.13308448,0.129550867,0.116495836
0.111701071,0.12555647,0.14845869,0.123548783,0.111096884
0.111701071,0.11996281,0.14044873,0.126071173,0.12433759
0.109012097,0.11987384,0.12509152,0.112719925,0.111582184
0.108210415,0.1304267,0.117806315,0.11034825,0.104004791
0.108210415,0.13504222,0.136273704,0.10824471,0.101503568
0.106465086,0.1425336,0.126569137,0.112096794,0.092962419
0.106465086,0.13342807,0.108328063,0.10897912,0.09500505
0.106465086,0.11717254,0.118663028,0.109558013,0.105270117
0.104719758,0.124186695,0.10846859,0.10842323,0.100481181
0.106442827,0.12526712,0.11050272,0.108937478,0.087337503
0.106465086,0.099185094,0.118943023,0.108271243,0.086894672
0.106465086,0.09505911,0.108456193,0.11000667,0.10542496
0.106465086,0.09282214,0.11900161,0.122839413,0.109096265
0.10473164,0.08608555,0.11998075,0.12784901,0.122361418
0.095150476,0.09728456,0.11655414,0.10829387,0.095801527
0.082168732,0.10223033,0.10881618,0.0997091,0.085899068
0.072456919,0.10579228,0.09422375,0.088805094,0.084189582
0.071558498,0.09188879,0.091585741,0.08531728,0.068453854
0.073303826,0.094649516,0.081193715,0.08487088,0.072251706
0.075049154,0.09229952,0.08440738,0.08846224,0.071869502
0.07586967,0.10001262,0.10531667,0.092394195,0.090843108
0.081953785,0.10227576,0.09951824,0.09615726,0.094901972
0.080285147,0.09874017,0.10015756,0.09573212,0.081544926
0.078846836,0.09975468,0.09800032,0.09730118,0.093915276
0.074266499,0.086233296,0.078812197,0.08365579,0.080442021
0.073303826,0.09629399,0.08403157,0.08564025,0.081198242
0.075049154,0.10234796,0.080191789,0.09045943,0.082214524
0.075049154,0.092927404,0.09125842,0.09659234,0.089701375
0.080075446,0.12730925,0.102465734,0.09868289,0.094555577
0.092280683,0.1126952,0.107863665,0.094385425,0.085001122
0.096751073,0.12025803,0.12940833,0.116352536,0.10815522
0.099483766,0.12648304,0.12069626,0.102529205,0.088446091
0.099483766,0.12921694,0.10950847,0.10188307,0.084997565
0.099352896,0.1527157,0.115418285,0.10276085,0.084534769
0.100210471,0.14153552,0.11885111,0.10312394,0.093756359
0.107971459,0.1326867,0.10954079,0.10805765,0.095009896
0.111701071,0.11689341,0.11411561,0.126834313,0.118523281
0.111701071,0.12170054,0.122918623,0.119079859,0.095289501
0.110999007,0.12328802,0.117315567,0.124814957,0.104629838
0.111524494,0.107961416,0.11547482,0.123540138,0.115682641
0.111701071,0.10400893,0.116826563,0.126541473,0.120800666
0.113257346,0.121681064,0.119060084,0.126154793,0.117436676
0.117618261,0.1207263,0.122908442,0.149119792,0.125058966
0.118682392,0.119604945,0.12051681,0.146922284,0.141112521
0.116937056,0.13028315,0.124770642,0.132945712,0.118875231
0.113467385,0.13338841,0.12482309,0.12444503,0.10249715
0.109955743,0.12401639,0.11172919,0.13458474,0.116031886
0.108210415,0.11212006,0.11017914,0.132316009,0.128219133
0.108210415,0.09136556,0.11353667,0.122087269,0.106861498
0.106702413,0.124502406,0.11064136,0.108608872,0.104946255
0.106465086,0.12942576,0.10788265,0.108906329,0.090614506
0.106465086,0.12451634,0.123190373,0.112842853,0.097338289
